-1.96534,-94.3932,0.00746155
-0.428845,-89.9809,-0.00235748
0.645143,-86.4213,-0.00166702
1.73985,-82.4803,0.00387192
3.26335,-77.3582,0.00907516
2.47668,-73.2221,0.00411606
-0.304142,-71.3717,0.00177765
-3.88991,-70.2543,0.00506973
-10.4794,-69.1551,-0.00268555
-18.5747,-66.9817,0.00114441
-26.7021,-64.5234,0.00499725
-30.1846,-63.8664,0.00212097
-35.1285,-65.1151,0.000160217
-42.2749,-65.3098,-0.00547791
-48.7801,-61.8038,0.00879669
-53.8892,-55.3947,-0.000518799
-58.1852,-49.5476,0.0100174
-59.2068,-42.2132,-0.00217438
-59.0544,-34.7238,-0.00122833
-62.5589,-31.0063,-0.000152588
-68.1722,-30.1532,-0.00125885
-72.7153,-32.5598,-0.00149536
-76.4785,-37.3397,0.00250244
-80.5709,-40.483,0.00649261
-85.0296,-42.107,0.00577545
-85.2248,-42.1071,0.0059433
